Date,TMAX,TMIN,TAVG
2021-01-04,10169,-100,1064.6333333333334
2021-01-05,10119,-72,1039.461111111111
2021-01-06,10224,-106,1056.6277777777777
2021-01-07,10210,-83,1065.0611111111111
2021-01-08,10240,-94,1061.7722222222221
2021-01-09,10251,-50,963.3980000000001
2021-01-10,10268,-56,966.3949999999999
2021-01-11,10251,-122,1063.211111111111
2021-01-12,10203,-128,1059.911111111111
2021-01-13,10105,-56,1072.916666666667
2021-01-14,10200,-139,1075.7555555555557
2021-01-15,10210,-150,1070.8444444444444
2021-01-16,10176,-78,1045.0111111111112
2021-01-17,10146,-78,1067.0555555555557
2021-01-18,10183,-78,1045.161111111111
2021-01-19,10284,-106,1067.3777777777777
2021-01-20,10142,-106,1065.8000000000002
2021-01-21,10129,-83,1045.166666666667
2021-12-15,9980,-94,1001.6105263157896
2021-12-16,10108,-144,1030.677777777778
2021-12-17,10166,-139,1063.6944444444443
2021-12-18,10244,-172,1051.6833333333334
2021-12-19,10149,-161,1052.372222222222
2021-12-20,10159,-139,1053.7444444444445
2021-12-21,10125,-156,1055.138888888889
2021-12-22,10098,-189,1049.75
2021-12-23,10027,-83,1052.3444444444444
2021-12-24,9970,-11,1054.5116666666665
2021-12-25,10064,-78,1054.9777777777779
2021-12-26,9993,-94,1049.8999999999999
2021-12-27,10020,-122,1038.4611111111112
2021-12-28,10000,-156,1013.3611111111111
2021-12-29,10064,-161,1039.1999999999998
2021-12-30,10000,-144,990.3157894736842
2021-12-31,10007,-94,922.5359999999998
2022-01-01,10186,-178,991.7905263157891
2022-01-02,10247,-117,1063.177777777778
2022-01-03,10163,-83,1060.0944444444442
2022-01-04,10102,-94,1068.2555555555555
2022-01-05,10156,-122,980.477894736842
2022-01-06,10207,-167,984.6236842105264
2022-01-07,10037,-44,1053.322222222222
2022-01-08,10102,-44,1042.0277777777778
2022-01-09,10325,-56,973.3799999999999
2022-01-10,10315,-106,1074.1222222222223
2022-01-11,10234,-122,1051.3
2022-01-12,10227,-78,1073.3777777777775
2022-01-13,10179,-44,1061.2166666666667
2022-01-14,10207,-61,1070.5333333333333
2022-01-15,10254,-122,1073.2555555555557
2022-01-16,10176,-117,1046.0833333333333
2022-01-17,10119,-100,1055.6999999999998
2022-01-18,10095,-100,1059.1
2022-01-19,10257,-72,906.7338095238096
2022-01-20,10251,-61,903.2238095238096
2022-01-21,10227,-44,998.2642105263157
2022-12-15,10166,-150,1068.5
2022-12-16,10190,-189,1060.6222222222223
2022-12-17,10183,-178,1039.5333333333335
2022-12-18,10139,-144,1050.1388888888891
2022-12-19,10193,-150,1065.5833333333333
2022-12-20,10217,-111,1062.8666666666666
2022-12-21,10139,-156,930.858
2022-12-22,10345,-289,925.6535
2022-12-23,10352,-239,1045.1
2022-12-24,10274,-89,1064.0333333333333
2022-12-25,10190,-44,1077.65
2022-12-26,10207,-22,1017.857894736842
2022-12-27,10007,-33,1054.75
2022-12-28,9956,-17,940.8550000000001
2022-12-29,10098,-78,930.5085000000001
2022-12-30,10112,-106,1049.1055555555554
2022-12-31,10051,-44,1056.7666666666667
2023-01-01,10108,-44,951.7475000000001
2023-01-02,10088,-39,920.2390476190476
2023-01-03,10112,-78,1005.9894736842107
2023-01-04,10183,-122,1051.6000000000001
2023-01-05,10207,-122,1054.3333333333333
2023-01-06,10176,-89,1062.8666666666668
2023-01-07,10251,-56,1073.0111111111112
2023-01-08,10200,-89,1071.3111111111111
2023-01-09,10146,-56,1065.5111111111112
2023-01-10,10078,-44,1068.0666666666666
2023-01-11,10122,-22,958.2135000000001
2023-01-12,10288,-56,1015.1210526315789
2023-01-13,10227,-50,1073.9166666666667
2023-01-14,10071,-39,1059.7222222222222
2023-01-15,9980,-33,994.8052631578947
2023-01-16,10020,-50,995.921052631579
2023-01-17,10047,-44,898.7204761904762
2023-01-18,10088,-61,966.3570000000002
2023-01-19,10173,-122,1055.3333333333333
2023-01-20,10237,-111,1001.3631578947367
2023-01-21,10213,-83,987.6584210526315
