locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
300,Glen Burnie,o3,0.029,"{'utc': '2023-08-29T00:00:00+00:00', 'local': '2023-08-28T20:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.029,"{'utc': '2023-08-28T23:00:00+00:00', 'local': '2023-08-28T19:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.03,"{'utc': '2023-08-28T22:00:00+00:00', 'local': '2023-08-28T18:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.031,"{'utc': '2023-08-28T21:00:00+00:00', 'local': '2023-08-28T17:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.033,"{'utc': '2023-08-28T20:00:00+00:00', 'local': '2023-08-28T16:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.034,"{'utc': '2023-08-28T19:00:00+00:00', 'local': '2023-08-28T15:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.033,"{'utc': '2023-08-28T18:00:00+00:00', 'local': '2023-08-28T14:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.032,"{'utc': '2023-08-28T17:00:00+00:00', 'local': '2023-08-28T13:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.032,"{'utc': '2023-08-28T16:00:00+00:00', 'local': '2023-08-28T12:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.03,"{'utc': '2023-08-28T15:00:00+00:00', 'local': '2023-08-28T11:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.027,"{'utc': '2023-08-28T14:00:00+00:00', 'local': '2023-08-28T10:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.025,"{'utc': '2023-08-28T13:00:00+00:00', 'local': '2023-08-28T09:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.024,"{'utc': '2023-08-28T12:00:00+00:00', 'local': '2023-08-28T08:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.023,"{'utc': '2023-08-28T11:00:00+00:00', 'local': '2023-08-28T07:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.017,"{'utc': '2023-08-28T10:00:00+00:00', 'local': '2023-08-28T06:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.017,"{'utc': '2023-08-28T09:00:00+00:00', 'local': '2023-08-28T05:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.024,"{'utc': '2023-08-28T08:00:00+00:00', 'local': '2023-08-28T04:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.027,"{'utc': '2023-08-28T07:00:00+00:00', 'local': '2023-08-28T03:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.03,"{'utc': '2023-08-28T06:00:00+00:00', 'local': '2023-08-28T02:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.031,"{'utc': '2023-08-28T05:00:00+00:00', 'local': '2023-08-28T01:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.035,"{'utc': '2023-08-28T04:00:00+00:00', 'local': '2023-08-28T00:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.036,"{'utc': '2023-08-28T03:00:00+00:00', 'local': '2023-08-27T23:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.043,"{'utc': '2023-08-28T02:00:00+00:00', 'local': '2023-08-27T22:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.039,"{'utc': '2023-08-28T01:00:00+00:00', 'local': '2023-08-27T21:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.037,"{'utc': '2023-08-28T00:00:00+00:00', 'local': '2023-08-27T20:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.045,"{'utc': '2023-08-27T23:00:00+00:00', 'local': '2023-08-27T19:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.048,"{'utc': '2023-08-27T22:00:00+00:00', 'local': '2023-08-27T18:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.047,"{'utc': '2023-08-27T21:00:00+00:00', 'local': '2023-08-27T17:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.043,"{'utc': '2023-08-27T20:00:00+00:00', 'local': '2023-08-27T16:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.04,"{'utc': '2023-08-27T19:00:00+00:00', 'local': '2023-08-27T15:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.04,"{'utc': '2023-08-27T18:00:00+00:00', 'local': '2023-08-27T14:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.043,"{'utc': '2023-08-27T17:00:00+00:00', 'local': '2023-08-27T13:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.045,"{'utc': '2023-08-27T16:00:00+00:00', 'local': '2023-08-27T12:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.04,"{'utc': '2023-08-27T15:00:00+00:00', 'local': '2023-08-27T11:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.032,"{'utc': '2023-08-27T14:00:00+00:00', 'local': '2023-08-27T10:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.026,"{'utc': '2023-08-27T13:00:00+00:00', 'local': '2023-08-27T09:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.018,"{'utc': '2023-08-27T12:00:00+00:00', 'local': '2023-08-27T08:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.006,"{'utc': '2023-08-27T11:00:00+00:00', 'local': '2023-08-27T07:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.005,"{'utc': '2023-08-27T10:00:00+00:00', 'local': '2023-08-27T06:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.008,"{'utc': '2023-08-27T09:00:00+00:00', 'local': '2023-08-27T05:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.01,"{'utc': '2023-08-27T08:00:00+00:00', 'local': '2023-08-27T04:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.009,"{'utc': '2023-08-27T07:00:00+00:00', 'local': '2023-08-27T03:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.012,"{'utc': '2023-08-27T06:00:00+00:00', 'local': '2023-08-27T02:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.014,"{'utc': '2023-08-27T05:00:00+00:00', 'local': '2023-08-27T01:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.022,"{'utc': '2023-08-27T04:00:00+00:00', 'local': '2023-08-27T00:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.028,"{'utc': '2023-08-27T03:00:00+00:00', 'local': '2023-08-26T23:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.032,"{'utc': '2023-08-27T02:00:00+00:00', 'local': '2023-08-26T22:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.037,"{'utc': '2023-08-27T01:00:00+00:00', 'local': '2023-08-26T21:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.041,"{'utc': '2023-08-27T00:00:00+00:00', 'local': '2023-08-26T20:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.043,"{'utc': '2023-08-26T23:00:00+00:00', 'local': '2023-08-26T19:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
